chloramine,chromium,bacteria,viruses,perchlorate,silver
0.08,0.08,0.0,0.64,1.67,0.1
0.04,0.02,0.0,0.76,0.79,0.06
0.02,0.06,0.0,0.57,0.42,0.08
0.0,0.08,0.0,0.79,4.83,0.06
0.03,0.07,0.0,0.82,0.03,0.08
0.08,0.04,0.0,0.86,8.21,0.04
0.26,0.04,0.0,0.58,7.06,0.04
0.02,0.0,0.0,0.87,6.1,0.02
0.13,0.08,0.0,0.7,1.41,0.09
0.04,0.05,0.0,0.55,8.79,0.0
0.01,0.06,0.0,0.006,1.3,0.02
0.24,0.09,0.0,0.006,6.73,0.05
0.36,0.09,0.0,0.75,2.32,0.1
0.18,0.07,0.0,0.51,2.41,0.05
0.09,0.07,0.0,1.0,2.85,0.03
0.37,0.06,0.0,0.006,0.11,0.03
0.1,0.1,0.0,0.0,1.38,0.03
0.06,0.09,0.0,0.58,7.68,0.02
0.61,0.06,0.0,0.51,0.68,0.06
0.2,0.06,0.0,0.001,0.02,0.0
0.09,0.08,0.0,0.67,5.61,0.04
0.23,0.07,0.0,0.82,2.69,0.05
0.57,0.06,0.09,0.005,1.58,0.04
0.01,0.09,0.0,0.53,3.2,0.03
0.19,0.02,0.0,0.65,1.06,0.02
0.2,0.09,0.0,0.75,2.26,0.04
0.05,0.04,0.0,0.009,2.27,0.01
0.12,0.02,0.0,0.008,6.17,0.06
0.17,0.07,0.0,0.7,3.56,0.05
0.04,0.08,0.0,0.78,3.05,0.06
0.43,0.07,0.0,0.75,0.78,0.02
0.45,0.0,0.02,0.0,4.46,0.01
0.01,0.07,0.0,0.57,11.09,0.09
0.02,0.04,0.0,0.55,8.76,0.04
0.15,0.09,0.09,0.008,2.8,0.06
0.2,0.09,0.0,0.82,0.14,0.1
0.02,0.09,0.0,0.003,0.4,0.05
0.05,0.07,0.0,0.76,1.88,0.08
0.19,0.04,0.08,0.008,1.78,0.08
0.29,0.08,0.04,0.003,0.46,0.06
0.38,0.08,0.0,0.003,4.37,0.06
0.02,0.07,0.0,0.005,0.05,0.08
0.08,0.1,0.0,0.61,8.82,0.06
0.15,0.1,0.1,0.001,3.87,0.04
0.07,0.08,0.0,0.62,4.78,0.06
0.36,0.07,0.0,0.71,0.2,0.06
0.41,0.0,0.0,0.003,6.57,0.1
0.02,0.09,0.0,0.96,2.03,0.03
0.09,0.02,0.0,0.5,0.8,0.08
0.07,0.1,0.0,0.5,1.01,0.02
0.06,0.02,0.0,0.5,2.58,0.01
0.41,0.02,0.0,0.006,4.15,0.01
0.05,0.09,0.0,0.006,0.53,0.07
0.07,0.04,0.07,0.006,5.69,0.04
0.08,0.03,0.0,0.59,7.36,0.05
0.02,0.05,0.0,0.79,7.29,0.03
0.01,0.05,0.0,1.0,1.52,0.09
0.09,0.06,0.0,0.005,2.08,0.04
0.04,0.09,0.0,0.004,0.26,0.02
0.0,0.06,0.0,0.78,0.37,0.06
0.18,0.06,0.0,0.001,4.51,0.08
0.07,0.02,0.0,0.008,2.74,0.08
0.08,0.1,0.0,0.98,3.01,0.1
0.25,0.01,0.0,0.87,1.63,0.04
0.02,0.09,0.0,0.004,2.17,0.05
0.08,0.05,0.0,0.83,11.38,0.01
0.02,0.05,0.07,0.008,0.18,0.02
0.1,0.03,0.0,0.003,4.08,0.09
0.03,0.05,0.0,0.51,0.31,0.09
0.24,0.01,0.0,0.004,0.85,0.08
0.4,0.06,0.0,0.009,2.22,0.07
0.26,0.04,0.09,0.006,6.14,0.09
0.14,0.08,0.0,0.69,0.29,0.01
0.16,0.08,0.0,0.52,2.53,0.09
0.38,0.01,0.0,0.68,3.75,0.1
0.06,0.08,0.01,0.0,0.17,0.04
0.2,0.09,0.0,0.73,3.62,0.06
0.05,0.02,0.0,0.005,2.22,0.08
0.7,0.01,0.0,0.003,7.39,0.08
0.54,0.05,0.0,0.79,4.09,0.03
0.03,0.06,0.0,0.8,1.09,0.02
0.3,0.05,0.07,0.005,0.22,0.05
0.08,0.03,0.0,0.7,5.44,0.0
0.01,0.05,0.0,0.61,5.28,0.06
0.19,0.05,0.0,0.001,8.12,0.02
0.01,0.04,0.0,0.003,0.84,0.02
0.06,0.1,0.0,0.004,0.81,0.06
0.04,0.09,0.0,0.67,0.13,0.09
0.18,0.02,0.05,0.003,2.55,0.04
0.02,0.06,0.0,0.92,7.46,0.03
0.07,0.06,0.0,0.007,7.1,0.04
0.02,0.08,0.0,0.006,1.12,0.05
0.2,0.09,0.0,1.0,0.41,0.03
0.37,0.05,0.0,0.004,11.89,0.0
0.09,0.1,0.0,0.58,0.83,0.01
0.15,0.04,0.0,0.005,6.81,0.1
0.0,0.08,0.0,0.74,0.09,0.08
0.09,0.0,0.0,0.72,0.27,0.01
0.21,0.02,0.08,0.001,0.19,0.05
0.33,0.09,0.0,0.001,1.13,0.09
0.28,0.09,0.02,0.002,4.27,0.03
0.19,0.07,0.0,0.58,12.86,0.05
0.05,0.05,0.0,0.56,0.91,0.05
0.07,0.0,0.0,0.003,5.66,0.09
0.05,0.06,0.0,0.7,1.45,0.05
0.0,0.0,0.0,0.007,3.83,0.02
0.07,0.08,0.09,0.008,7.65,0.02
0.07,0.03,0.0,0.007,4.71,0.03
0.05,0.04,0.0,0.93,1.47,0.02
0.09,0.1,0.0,0.75,4.76,0.07
0.05,0.06,0.0,0.007,4.73,0.04
0.06,0.06,0.0,0.72,0.37,0.08
0.38,0.08,0.0,0.004,6.1,0.02
0.21,0.09,0.0,0.001,5.75,0.01
0.08,0.07,0.0,0.85,11.34,0.02
0.05,0.02,0.0,0.76,7.25,0.03
0.06,0.03,0.0,0.77,0.02,0.02
0.24,0.1,0.0,0.66,6.01,0.08
0.48,0.08,0.0,0.003,4.28,0.05
0.05,0.05,0.0,0.001,8.95,0.09
0.17,0.01,0.0,0.008,2.76,0.01
0.41,0.03,0.0,0.82,3.7,0.09
0.27,0.01,0.0,0.6,0.33,0.05
0.03,0.1,0.0,0.98,8.36,0.05
0.2,0.04,0.0,0.003,0.04,0.03
0.56,0.03,0.0,0.007,11.18,0.03
0.1,0.09,0.0,0.89,9.81,0.07
0.34,0.09,0.0,0.006,3.42,0.07
0.38,0.03,0.0,0.79,1.79,0.06
0.34,0.07,0.0,0.73,1.13,0.01
0.12,0.02,0.0,0.91,3.58,0.05
0.26,0.07,0.0,0.51,8.75,0.01
0.06,0.02,0.0,0.51,0.11,0.09
0.69,0.06,0.0,0.99,9.54,0.02
0.03,0.05,0.0,0.004,2.03,0.06
0.35,0.02,0.1,0.002,1.2,0.06
0.05,0.02,0.0,0.008,7.84,0.03
0.1,0.02,0.0,0.001,4.26,0.0
0.25,0.08,0.0,0.97,0.98,0.01
0.03,0.04,0.0,0.003,8.34,0.09
0.05,0.07,0.0,0.61,4.83,0.09
0.05,0.01,0.0,0.87,4.31,0.01
0.1,0.01,0.08,0.005,2.79,0.06
0.24,0.05,0.0,0.92,4.08,0.07
0.49,0.08,0.0,0.74,0.12,0.06
0.01,0.03,0.05,0.008,0.03,0.06
0.47,0.07,0.0,1.0,0.11,0.06
0.02,0.02,0.0,0.002,9.58,0.09
0.03,0.06,0.0,0.005,5.85,0.1
0.52,0.08,0.0,0.002,0.52,0.01
0.12,0.05,0.0,0.5,6.69,0.04
0.06,0.04,0.0,0.008,6.25,0.01
0.37,0.06,0.0,0.83,1.69,0.04
0.08,0.08,0.0,0.66,6.18,0.0
0.18,0.03,0.0,0.63,2.51,0.08
0.0,0.04,0.0,0.003,4.98,0.06
0.23,0.04,0.0,0.006,0.12,0.02
0.41,0.07,0.0,0.93,2.96,0.06
0.22,0.06,0.0,0.99,6.83,0.02
0.03,0.06,0.0,0.008,11.12,0.05
0.01,0.02,0.0,0.004,1.18,0.05
0.0,0.04,0.0,0.0,0.05,0.05
0.55,0.02,0.1,0.001,5.15,0.04
0.1,0.08,0.0,0.93,10.07,0.08
0.09,0.0,0.0,0.91,1.7,0.08
0.03,0.02,0.0,0.75,0.39,0.08
0.13,0.02,0.0,0.59,1.25,0.05
0.31,0.04,0.0,0.001,0.17,0.07
0.17,0.02,0.0,0.003,1.18,0.09
0.18,0.04,0.0,0.79,2.05,0.05
0.02,0.03,0.0,0.62,7.4,0.09
0.2,0.08,0.0,0.61,5.85,0.07
0.42,0.03,0.0,0.5,12.14,0.06
0.56,0.07,0.0,0.008,3.89,0.04
0.41,0.01,0.0,0.005,11.69,0.02
0.47,0.03,0.0,0.86,2.67,0.02
0.01,0.02,0.0,0.007,0.3,0.09
0.67,0.02,0.0,0.0,1.9,0.08
0.18,0.06,0.0,0.95,0.47,0.05
0.51,0.01,0.0,0.004,0.11,0.06
0.11,0.06,0.0,0.64,10.26,0.06
0.03,0.01,0.0,0.003,1.39,0.01
0.1,0.05,0.0,0.68,2.43,0.01
0.08,0.1,0.0,0.57,0.94,0.06
0.0,0.06,0.0,0.65,2.74,0.07
0.02,0.07,0.0,0.66,7.48,0.04
0.03,0.02,0.0,0.96,2.04,0.06
0.3,0.07,0.0,0.78,0.47,0.07
0.01,0.09,0.0,0.84,10.0,0.08
0.01,0.05,0.0,0.9,3.46,0.03
0.18,0.08,0.0,0.77,0.29,0.01
0.03,0.06,0.0,0.007,0.16,0.04
0.26,0.05,0.0,0.007,0.22,0.05
0.05,0.05,0.0,0.58,4.82,0.03
0.1,0.06,0.0,0.96,0.07,0.03
0.0,0.09,0.0,0.003,2.63,0.05
0.09,0.07,0.0,0.007,3.11,0.08
0.1,0.0,0.0,0.72,0.13,0.09
0.06,0.05,0.0,0.006,0.33,0.09
0.16,0.02,0.0,0.87,10.61,0.0
0.07,0.01,0.0,0.77,5.46,0.06
0.06,0.07,0.0,0.56,9.58,0.08
0.05,0.04,0.0,0.78,0.99,0.06
0.39,0.01,0.0,0.008,0.55,0.05
0.11,0.0,0.0,0.004,3.42,0.09
0.26,0.0,0.0,0.65,3.49,0.08
0.03,0.06,0.0,0.003,9.05,0.07
0.06,0.05,0.0,0.66,1.33,0.04
0.11,0.03,0.0,0.5,6.78,0.02
0.41,0.06,0.0,0.56,7.99,0.09
0.49,0.03,0.0,0.61,0.9,0.02
0.09,0.08,0.0,0.68,1.64,0.03
0.39,0.01,0.0,0.59,0.28,0.03
0.49,0.09,0.0,0.93,1.71,0.03
0.3,0.03,0.0,0.005,3.72,0.1
0.02,0.04,0.0,0.008,0.77,0.07
0.2,0.06,0.0,0.002,4.67,0.0
0.17,0.0,0.0,0.006,1.23,0.03
0.25,0.09,0.0,0.004,11.23,0.03
0.02,0.05,0.0,0.008,4.74,0.06
0.06,0.0,0.0,0.64,3.34,0.08
0.2,0.02,0.0,0.64,0.56,0.03
0.64,0.02,0.0,0.92,0.1,0.08
0.21,0.07,0.0,0.75,1.66,0.06
0.09,0.06,0.0,0.65,10.22,0.0
0.03,0.04,0.0,0.58,0.43,0.05
0.14,0.07,0.0,0.002,0.36,0.1
0.64,0.0,0.0,0.004,6.93,0.02
0.29,0.04,0.0,0.89,0.2,0.05
0.32,0.08,0.0,0.003,8.47,0.01
0.17,0.01,0.0,0.003,1.71,0.0
0.43,0.02,0.0,0.62,1.73,0.04
0.03,0.1,0.0,0.005,7.22,0.08
0.35,0.08,0.0,0.56,0.95,0.01
0.37,0.09,0.0,0.001,1.14,0.01
0.08,0.06,0.0,0.002,0.71,0.05
0.33,0.04,0.0,0.002,10.95,0.02
0.17,0.08,0.0,0.001,7.64,0.02
0.11,0.1,0.0,0.92,10.52,0.06
0.05,0.09,0.0,0.53,0.99,0.07
0.14,0.04,0.09,0.006,2.0,0.04
0.05,0.01,0.0,0.84,1.16,0.01
0.28,0.05,0.03,0.005,5.25,0.08
0.03,0.07,0.0,0.006,2.72,0.01
0.11,0.05,0.0,0.73,2.16,0.05
0.12,0.05,0.0,0.77,3.63,0.08
0.05,0.09,0.0,0.69,11.52,0.05
0.55,0.02,0.0,0.002,0.44,0.06
0.09,0.07,0.0,0.005,2.36,0.08
0.03,0.06,0.0,0.68,7.19,0.04
0.0,0.0,0.0,0.59,8.54,0.04
0.06,0.02,0.0,0.005,0.38,0.08
0.5,0.01,0.0,0.003,0.05,0.03
0.18,0.01,0.0,0.62,0.25,0.02
0.0,0.05,0.0,0.004,0.01,0.02
0.08,0.04,0.0,0.007,6.92,0.07
0.08,0.04,0.0,0.71,0.36,0.05
0.09,0.04,0.0,0.79,2.3,0.08
0.09,0.03,0.0,0.0,10.06,0.06
0.11,0.04,0.0,0.002,1.18,0.01
0.59,0.06,0.0,0.001,3.15,0.02
0.11,0.0,0.0,0.7,3.94,0.07
0.05,0.02,0.0,0.008,3.17,0.02
0.31,0.08,0.0,0.95,0.03,0.06
0.46,0.04,0.0,0.001,7.58,0.01
0.19,0.09,0.03,0.006,6.85,0.08
0.34,0.03,0.0,0.001,5.92,0.07
0.15,0.03,0.0,0.005,4.42,0.09
0.09,0.07,0.0,0.002,0.62,0.03
0.15,0.08,0.0,0.59,0.3,0.07
0.09,0.02,0.0,0.008,1.28,0.06
0.12,0.09,0.0,0.004,2.55,0.02
0.06,0.07,0.0,0.97,0.39,0.0
0.64,0.1,0.09,0.006,5.45,0.1
0.15,0.02,0.0,0.004,7.38,0.03
0.1,0.04,0.03,0.003,7.05,0.02
0.16,0.07,0.0,0.58,2.78,0.02
0.02,0.03,0.0,0.001,1.43,0.07
0.01,0.01,0.04,0.003,7.45,0.07
0.08,0.09,0.0,0.89,4.34,0.03
0.55,0.1,0.0,0.007,0.34,0.1
0.08,0.08,0.0,0.95,6.74,0.03
0.35,0.03,0.0,0.75,4.28,0.0
0.1,0.02,0.0,0.002,0.55,0.08
0.03,0.08,0.0,0.7,3.59,0.06
0.33,0.04,0.0,0.8,1.75,0.04
0.1,0.01,0.0,0.55,0.67,0.07
0.3,0.03,0.1,0.008,1.27,0.07
0.02,0.04,0.0,0.006,7.04,0.03
0.31,0.01,0.0,0.001,3.61,0.08
0.14,0.06,0.0,0.74,1.25,0.04
0.2,0.01,0.0,0.007,10.06,0.0
0.03,0.08,0.0,0.74,0.55,0.02
0.32,0.01,0.0,0.002,4.8,0.07
0.09,0.01,0.0,0.002,0.94,0.1
0.05,0.01,0.0,0.85,0.16,0.02
0.23,0.05,0.0,0.006,0.48,0.09
0.19,0.1,0.01,0.007,0.27,0.08
0.25,0.05,0.0,0.6,2.84,0.04
0.23,0.06,0.0,0.57,4.13,0.09
0.01,0.04,0.0,0.85,3.18,0.02
0.4,0.08,0.0,0.005,10.46,0.06
0.09,0.07,0.0,0.58,5.11,0.04
0.03,0.07,0.0,0.004,3.92,0.06
0.48,0.06,0.0,0.009,3.95,0.07
0.31,0.05,0.0,0.55,6.6,0.03
0.03,0.05,0.0,0.003,4.62,0.04
0.0,0.01,0.0,0.001,5.78,0.09
0.06,0.06,0.0,0.91,0.45,0.05
0.29,0.03,0.0,0.0,12.7,0.04
0.04,0.03,0.03,0.007,8.49,0.1
0.0,0.02,0.0,0.001,0.37,0.06
0.46,0.04,0.0,0.006,6.58,0.01
0.29,0.03,0.05,0.009,0.13,0.1
0.08,0.01,0.0,0.008,0.35,0.07
0.09,0.07,0.0,0.005,0.68,0.04
0.35,0.07,0.0,0.003,4.12,0.05
0.05,0.03,0.0,0.002,3.69,0.05
0.13,0.04,0.02,0.003,1.61,0.04
0.1,0.04,0.0,0.003,0.14,0.01
0.11,0.02,0.0,0.75,1.41,0.03
0.07,0.05,0.0,0.003,0.78,0.01
0.44,0.04,0.0,0.51,8.07,0.03
0.07,0.09,0.0,0.51,0.81,0.04
0.36,0.08,0.01,0.001,0.47,0.03
0.16,0.05,0.0,0.004,6.45,0.04
0.07,0.05,0.0,0.002,1.83,0.01
0.08,0.04,0.0,0.004,0.31,0.09
0.59,0.02,0.0,0.005,1.77,0.01
0.02,0.07,0.0,0.79,0.5,0.06
0.17,0.1,0.0,0.006,7.35,0.03
0.32,0.03,0.0,0.94,4.12,0.07
0.63,0.09,0.02,0.001,5.44,0.01
0.08,0.01,0.0,0.005,0.45,0.03
0.3,0.05,0.0,0.51,3.02,0.06
0.06,0.06,0.0,0.83,0.65,0.01
0.0,0.1,0.0,0.54,7.18,0.07
0.12,0.0,0.0,0.007,1.32,0.09
0.04,0.05,0.0,0.73,2.4,0.04
0.56,0.03,0.09,0.007,1.09,0.0
0.01,0.01,0.0,0.59,7.85,0.01
0.01,0.09,0.0,0.65,1.39,0.04
0.56,0.0,0.0,0.008,0.52,0.07
0.24,0.06,0.0,0.002,8.53,0.06
0.25,0.08,0.0,0.8,0.65,0.03
0.46,0.09,0.0,0.0,6.08,0.06
0.14,0.07,0.0,0.52,2.46,0.04
0.42,0.03,0.0,0.001,2.72,0.06
0.2,0.07,0.03,0.005,9.88,0.0
0.32,0.1,0.0,0.001,2.35,0.04
0.17,0.09,0.0,0.57,6.37,0.06
0.07,0.06,0.0,0.008,0.19,0.04
0.03,0.06,0.0,0.005,0.21,0.09
0.28,0.01,0.0,0.69,1.73,0.08
0.08,0.04,0.0,0.67,6.85,0.04
0.32,0.03,0.0,0.0,0.4,0.05
0.01,0.03,0.0,0.74,9.41,0.09
0.04,0.06,0.0,0.007,0.08,0.03
0.46,0.09,0.0,0.005,0.04,0.0
0.02,0.01,0.0,0.002,0.23,0.09
0.23,0.07,0.0,0.53,1.44,0.01
0.03,0.07,0.1,0.007,5.85,0.05
0.03,0.09,0.0,0.59,0.16,0.02
0.34,0.08,0.06,0.001,3.5,0.1
0.11,0.05,0.0,0.0,4.37,0.1
0.09,0.06,0.0,0.003,7.54,0.05
0.0,0.04,0.0,0.72,0.66,0.01
0.09,0.02,0.0,0.001,3.17,0.02
0.64,0.09,0.0,0.002,4.03,0.07
0.13,0.0,0.0,0.76,0.48,0.03
0.09,0.02,0.0,0.009,0.04,0.08
0.03,0.05,0.0,0.007,0.4,0.03
0.19,0.02,0.0,0.002,3.58,0.03
0.07,0.08,0.0,0.72,2.02,0.06
0.24,0.1,0.0,0.85,7.49,0.0
0.07,0.08,0.0,0.98,1.77,0.08
0.14,0.06,0.0,0.53,5.47,0.08
0.02,0.02,0.0,0.79,4.11,0.02
0.06,0.03,0.06,0.005,0.27,0.1
0.03,0.06,0.05,0.002,3.7,0.07
0.35,0.05,0.0,0.007,0.42,0.03
0.01,0.0,0.0,0.003,1.7,0.07
0.17,0.08,0.0,0.008,4.37,0.04
0.21,0.01,0.0,0.99,2.22,0.0
0.07,0.04,0.0,0.74,0.1,0.09
0.0,0.09,0.0,0.004,0.82,0.03
0.34,0.04,0.0,0.89,0.16,0.06
0.07,0.07,0.0,0.002,4.17,0.0
0.26,0.1,0.0,1.0,0.02,0.06
0.36,0.08,0.0,0.72,0.62,0.08
0.09,0.07,0.0,0.93,5.29,0.05
0.08,0.09,0.07,0.001,4.12,0.08
0.04,0.07,0.0,0.0,8.0,0.08
0.02,0.03,0.0,0.008,2.62,0.01
0.03,0.0,0.0,0.002,5.91,0.04
0.01,0.04,0.0,0.57,2.05,0.1
0.01,0.05,0.0,0.008,4.87,0.01
0.3,0.03,0.07,0.008,0.18,0.02
0.02,0.01,0.1,0.005,0.91,0.08
0.03,0.09,0.0,0.55,2.53,0.04
0.37,0.05,0.0,0.76,0.4,0.01
0.08,0.07,0.0,0.005,0.45,0.08
0.05,0.09,0.0,0.99,0.55,0.03
0.07,0.02,0.0,0.69,1.47,0.07
0.51,0.08,0.0,0.84,1.48,0.05
0.01,0.04,0.0,0.51,0.04,0.03
0.01,0.02,0.0,0.0,0.17,0.08
0.33,0.09,0.0,0.67,5.86,0.0
0.38,0.03,0.0,0.006,5.99,0.01
0.28,0.03,0.0,0.007,0.21,0.06
0.3,0.02,0.0,0.63,0.37,0.01
0.09,0.01,0.0,0.001,1.07,0.08
0.02,0.06,0.0,0.84,1.45,0.05
0.16,0.06,0.0,0.81,0.44,0.06
0.15,0.03,0.0,0.58,3.3,0.1
0.04,0.0,0.0,0.001,0.03,0.07
0.02,0.02,0.0,0.94,0.64,0.05
0.13,0.09,0.0,0.77,2.36,0.05
0.02,0.05,0.0,0.87,0.87,0.02
0.47,0.09,0.0,0.002,9.71,0.02
0.3,0.08,0.0,0.001,0.03,0.01
0.11,0.08,0.0,0.75,1.71,0.1
0.09,0.01,0.0,0.002,2.57,0.02
0.04,0.07,0.0,0.64,0.09,0.05
0.07,0.01,0.0,0.6,7.78,0.03
0.42,0.09,0.0,0.74,0.38,0.03
0.05,0.02,0.0,0.79,5.02,0.05
0.02,0.09,0.0,0.008,1.12,0.08
0.01,0.0,0.0,0.009,4.38,0.01
0.01,0.09,0.0,0.92,1.95,0.08
0.57,0.01,0.0,0.69,2.61,0.02
0.03,0.01,0.0,0.002,2.76,0.02
0.05,0.03,0.0,0.76,6.27,0.02
0.4,0.0,0.0,0.75,3.65,0.01
0.19,0.08,0.0,0.63,2.6,0.02
0.38,0.0,0.0,0.002,6.29,0.08
0.27,0.08,0.0,0.007,0.09,0.04
0.08,0.02,0.0,0.94,8.3,0.01
0.4,0.0,0.0,0.99,7.23,0.08
0.7,0.09,0.0,0.6,0.29,0.01
0.27,0.03,0.0,0.65,2.03,0.08
0.59,0.08,0.07,0.008,4.81,0.0
0.24,0.06,0.0,0.001,3.42,0.01
0.03,0.1,0.0,0.87,1.96,0.01
0.03,0.06,0.0,0.61,2.38,0.1
0.12,0.1,0.0,0.002,4.29,0.08
0.1,0.04,0.0,0.001,4.4,0.01
0.34,0.01,0.0,0.91,9.16,0.01
0.0,0.09,0.1,0.001,7.76,0.09
0.17,0.02,0.0,0.97,2.66,0.09
0.1,0.07,0.0,0.86,0.11,0.01
0.31,0.04,0.0,0.63,0.83,0.03
0.11,0.09,0.0,0.007,3.16,0.03
0.06,0.01,0.0,0.61,2.94,0.04
0.05,0.1,0.0,0.78,0.73,0.09
0.06,0.03,0.0,0.9,2.1,0.1
0.09,0.07,0.0,0.89,5.61,0.03
0.01,0.1,0.0,0.005,2.32,0.02
0.34,0.06,0.0,0.55,3.24,0.01
0.23,0.01,0.0,0.005,2.72,0.08
0.01,0.05,0.0,0.93,0.1,0.02
0.09,0.04,0.0,0.7,4.15,0.1
0.04,0.06,0.0,0.006,0.48,0.07
0.06,0.06,0.0,0.92,0.47,0.05
0.37,0.08,0.0,0.75,1.24,0.03
0.08,0.02,0.0,0.53,5.24,0.07
0.01,0.08,0.0,0.69,0.04,0.09
0.04,0.03,0.0,0.002,0.49,0.06
0.08,0.06,0.0,0.001,2.46,0.06
0.07,0.04,0.0,0.004,0.11,0.03
0.03,0.07,0.0,0.74,2.65,0.06
0.19,0.08,0.0,0.009,9.7,0.05
0.13,0.06,0.06,0.007,0.86,0.06
0.09,0.04,0.03,0.008,0.34,0.04
0.22,0.06,0.0,0.86,3.23,0.07
0.05,0.01,0.0,0.84,1.56,0.02
0.4,0.03,0.0,0.83,0.46,0.02
0.07,0.04,0.0,0.001,6.41,0.03
0.11,0.06,0.0,0.001,7.48,0.09
0.12,0.08,0.0,0.85,3.79,0.06
0.03,0.04,0.0,0.95,4.54,0.01
0.09,0.03,0.0,0.65,0.87,0.04
0.02,0.05,0.0,0.73,0.98,0.02
0.23,0.09,0.02,0.007,0.21,0.05
0.03,0.04,0.0,0.005,1.86,0.09
0.02,0.08,0.0,0.006,0.35,0.04
0.3,0.08,0.08,0.008,3.3,0.08
0.1,0.1,0.0,0.007,0.81,0.08
0.03,0.01,0.0,0.009,0.19,0.01
0.07,0.05,0.0,0.78,7.34,0.04
0.05,0.09,0.0,0.55,2.16,0.0
0.02,0.09,0.0,0.75,3.5,0.0
0.11,0.03,0.0,0.003,5.08,0.01
0.1,0.04,0.0,0.89,6.16,0.04
0.06,0.03,0.0,0.003,1.18,0.05
0.01,0.08,0.0,0.008,6.12,0.03
0.13,0.08,0.0,0.002,1.6,0.02
0.06,0.04,0.0,0.88,0.38,0.07
0.54,0.08,0.0,0.79,0.23,0.06
0.5,0.03,0.0,0.54,3.5,0.04
0.4,0.02,0.0,0.001,0.25,0.06
0.14,0.01,0.0,0.89,12.77,0.06
0.05,0.06,0.0,0.003,3.4,0.07
0.1,0.1,0.0,0.51,6.41,0.04
0.07,0.02,0.0,0.95,3.81,0.05
0.06,0.08,0.0,0.5,6.64,0.03
0.08,0.04,0.0,0.009,1.8,0.07
0.21,0.1,0.0,0.7,0.16,0.02
0.1,0.04,0.0,0.0,5.18,0.01
0.09,0.03,0.0,0.91,8.74,0.02
0.12,0.02,0.0,0.62,1.95,0.08
0.48,0.06,0.0,0.91,0.73,0.01
0.05,0.04,0.0,0.005,2.94,0.04
0.04,0.05,0.0,0.94,1.19,0.07
0.01,0.02,0.0,0.008,0.55,0.0
0.31,0.02,0.0,0.005,0.96,0.1
0.33,0.08,0.0,0.001,3.37,0.09
0.02,0.02,0.0,0.009,9.72,0.07
0.08,0.06,0.0,1.0,2.38,0.04
0.06,0.03,0.0,0.67,0.96,0.07
0.58,0.05,0.0,0.007,0.38,0.01
0.06,0.04,0.0,0.001,0.48,0.01
0.07,0.08,0.0,0.5,0.01,0.03
0.03,0.07,0.0,0.89,0.23,0.02
0.13,0.0,0.0,0.002,3.96,0.1
0.18,0.07,0.0,0.64,10.69,0.0
0.14,0.06,0.0,0.005,1.57,0.05
0.14,0.09,0.0,0.68,0.73,0.06
0.13,0.02,0.0,0.003,0.04,0.09
0.62,0.06,0.0,0.006,4.26,0.05
0.04,0.09,0.0,0.84,6.81,0.03
0.06,0.03,0.0,0.0,0.59,0.07
0.07,0.0,0.0,0.99,0.08,0.01
0.25,0.05,0.01,0.004,1.15,0.01
0.05,0.1,0.0,0.002,6.74,0.03
0.3,0.06,0.0,0.001,0.29,0.06
0.17,0.05,0.0,0.59,6.28,0.09
0.1,0.05,0.0,0.68,0.96,0.01
0.03,0.1,0.0,0.0,2.77,0.03
0.09,0.05,0.0,0.005,0.28,0.02
0.08,0.07,0.0,0.004,0.12,0.03
0.11,0.02,0.0,0.007,10.42,0.02
0.11,0.02,0.0,0.8,3.75,0.04
0.09,0.03,0.02,0.006,6.77,0.08
0.09,0.02,0.0,0.69,4.61,0.02
0.18,0.06,0.0,0.005,4.76,0.06
0.03,0.07,0.0,0.001,0.45,0.03
0.09,0.02,0.0,0.9,0.6,0.02
0.3,0.04,0.0,0.98,3.08,0.07
0.26,0.07,0.0,0.002,0.14,0.09
0.48,0.0,0.0,0.84,1.59,0.08
0.4,0.01,0.0,0.62,3.5,0.05
0.03,0.02,0.0,0.94,5.33,0.03
0.09,0.07,0.0,0.94,5.7,0.09
0.1,0.1,0.0,0.73,9.47,0.03
0.07,0.08,0.0,0.52,0.69,0.05
0.44,0.02,0.0,1.0,9.47,0.01
0.04,0.07,0.1,0.003,7.48,0.08
0.01,0.01,0.01,0.0,4.02,0.03
0.07,0.04,0.0,0.71,1.04,0.06
0.47,0.06,0.0,0.84,6.03,0.06
0.0,0.06,0.0,0.002,0.3,0.02
0.17,0.01,0.0,0.54,2.46,0.1
0.07,0.08,0.0,0.89,6.53,0.1
0.38,0.05,0.0,0.63,1.27,0.05
0.2,0.04,0.09,0.005,7.84,0.01
0.04,0.03,0.0,0.001,3.27,0.01
0.0,0.05,0.0,0.006,5.11,0.04
0.45,0.02,0.0,0.82,0.74,0.01
0.19,0.07,0.0,0.005,5.63,0.08
0.03,0.07,0.0,0.55,3.87,0.02
0.23,0.01,0.0,0.54,1.92,0.01
0.09,0.08,0.0,0.62,2.92,0.01
0.03,0.04,0.0,0.61,13.48,0.02
0.14,0.09,0.0,0.55,0.15,0.1
0.42,0.06,0.0,0.008,0.3,0.05
0.37,0.07,0.0,0.64,5.88,0.05
0.08,0.06,0.0,0.83,0.11,0.01
0.1,0.07,0.0,0.89,0.92,0.09
0.08,0.08,0.0,0.89,0.06,0.0
0.05,0.05,0.02,0.006,6.31,0.08
0.11,0.09,0.0,0.006,2.04,0.08
